uri,Year,Name,Director,Runtime,Cast,Poster,Countries,Languages,Genres,Watches
29Dk,1982,Gandhi,Richard Attenborough,191,"['Ben Kingsley', 'Candice Bergen', 'Edward Fox', 'John Gielgud', 'Trevor Howard', 'John Mills', 'Martin Sheen', 'Ian Charleson', 'Athol Fugard', 'Günther Maria Halmer', 'Saeed Jaffrey', 'Geraldine James', 'Alyque Padamsee', 'Amrish Puri', 'Roshan Seth', 'Rohini Hattangadi', 'Ian Bannen', 'Michael Bryant', 'John Clements', 'Richard Griffiths', 'Nigel Hawthorne', 'Bernard Hepton', 'Michael Hordern', 'Shreeram Lagoo', 'Virendra Razdan', 'Richard Vernon', 'Harsh Nayyar', 'Prabhakar Patankar', 'Vijay Kashyap']",,"['India', 'UK']",['English'],"['history', 'drama']",[]
9X0m,2015,The Witch,Robert Eggers,92,"['Anya Taylor-Joy', 'Ralph Ineson', 'Kate Dickie', 'Harvey Scrimshaw', 'Ellie Grainger', 'Lucas Dawson', 'Bathsheba Garnett', 'Sarah Stephens', 'Julian Richings', 'Daniel Malik', 'Axtun Henry Dube', 'Athan Conrad Dube', 'Vivien Moore', 'Karen Kaeja', 'Brandy Leary', 'R. Hope Terry', 'Carrie Eklund', 'Madlen Sopadzhiyan', 'Paul Kenworthy', 'Mark Millmna', 'Andy Volpe', 'Phillip Wynne', 'Annawon Weeden', ""Michael O'Hare"", 'Chris Messier', 'Ron Young', 'Nora Messier', 'Bill Rudder', 'Grace Duffy']",,"['Canada', 'UK', 'USA']",['English'],"['drama', 'mystery', 'horror', 'fantasy']","[datetime.datetime(2021, 7, 5, 0, 0)]"
dGNE,2017,Lady Bird,Greta Gerwig,94,"['Saoirse Ronan', 'Laurie Metcalf', 'Tracy Letts', 'Beanie Feldstein', 'Lucas Hedges', 'Timothée Chalamet', 'Jordan Rodrigues', 'Marielle Scott', 'Odeya Rush', 'Lois Smith', 'Stephen McKinley Henderson', 'John Karna', 'Jake McDorman', 'Bayne Gibby', 'Laura Marano', 'Marietta DePrima', 'Daniel Zovatto', 'Kristen Cloke', 'Andy Buckley', 'Paul Keller', 'Kathryn Newton', 'Myra Turley', 'Bob Stephenson', 'Abhimanyu Katyal', 'Chris Witaske', 'Ben Konigsberg', 'Gurpreet Gill', 'Richard Jin Namkung', ""Joan Patricia O'Neil""]",,['USA'],['English'],"['drama', 'comedy']","[datetime.datetime(2021, 7, 7, 0, 0)]"
6jeC,2013,Marvel One-Shot: Agent Carter,Louis D'Esposito,15,"['Hayley Atwell', 'Bradley Whitford', 'Dominic Cooper', 'Neal McDonough', 'Chris Evans', 'Shane Black', 'Greg Haines', 'Jon Barinholtz', 'Tim Trobec']",,['USA'],['English'],"['science-fiction', 'adventure', 'action', 'fantasy']",[]
29GI,1975,Monty Python and the Holy Grail,"Terry Gilliam, Terry Jones",91,"['Graham Chapman', 'John Cleese', 'Eric Idle', 'Terry Gilliam', 'Terry Jones', 'Michael Palin', 'Connie Booth', 'Carol Cleveland', 'Neil Innes', 'Bee Duffell', 'John Young', 'Rita Davies', 'Avril Stewart', 'Sally Kinghorn', 'Mark Zycon', 'Elspeth Cameron', 'Mitsuko Forstater', 'Sandy Johnson', 'Sandy Rose', 'Romilly Squire', 'Joni Flynn', 'Alison Walker', 'Loraine Ward', 'Anna Lanski', 'Sally Coombe', 'Vivienne MacDonald', 'Yvonne Dick', 'Daphne Darling', 'Fiona Gordon']",,['UK'],"['English', 'French', 'Latin']","['adventure', 'comedy', 'fantasy']","[datetime.datetime(2021, 7, 8, 0, 0)]"
hWV8,2021,Black Widow,Cate Shortland,134,"['Scarlett Johansson', 'Florence Pugh', 'Rachel Weisz', 'David Harbour', 'Ray Winstone', 'Olga Kurylenko', 'Ever Anderson', 'Violet McGraw', 'O.T. Fagbenle', 'William Hurt', 'Ryan Kiera Armstrong', 'Liani Samuel', 'Michelle Lee', 'Lewis Young', 'C.C. Smiff', 'Nanna Blondell', 'Simona Zivkovska', 'Erin Jameson', 'Shaina West', 'Yolanda Lynes', 'Claudia Heinz', 'Fatou Bah', 'Jade Ma', 'Jade Xu', 'Lucy-Jayne Murray', 'Lucy Cork', 'Eniko Fulop', 'Lauren Okadigbo', 'Agel Aurélia']",,['USA'],"['English', 'Russian']","['action', 'adventure', 'science-fiction']","[datetime.datetime(2021, 7, 10, 0, 0)]"
3mDa,2013,Under the Skin,Jonathan Glazer,108,"['Scarlett Johansson', 'Jeremy McWilliams', 'Lynsey Taylor Mackay', 'Dougie McConnell', 'Kevin McAlinden', 'D. Meade', 'Andrew Gorman', 'Joe Szula', 'Kryštof Hádek', 'Roy Armstrong', 'Alison Chand', 'Ben Mills', 'Oscar Mills', 'Lee Fanning', 'Paul Brannigan', 'Marius Bincu', 'Scott Dymond', 'Stephen Horn', 'Adam Pearson', 'May Mewes', 'Michael Moreland', 'Gerry Goodfellow', 'Dave Acton', 'Jessica Mance', 'Jerome Boyle', 'Antonia Campbell-Hughes']",,"['Switzerland', 'UK', 'USA']",['English'],"['drama', 'science-fiction', 'thriller']","[datetime.datetime(2021, 7, 11, 0, 0)]"
jhxe,2019,Midsommar,Ari Aster,147,"['Florence Pugh', 'Jack Reynor', 'William Jackson Harper', 'Will Poulter', 'Vilhelm Blomgren', 'Isabelle Grill', 'Gunnel Fred', 'Ellora Torchia', 'Archie Madekwe', 'Henrik Norlén', 'Agnes Westerlund Rase', 'Julia Ragnarsson', 'Mats Blomgren', 'Lars Väringer', 'Anna Åström', 'Hampus Hallberg', 'Liv Mjönes', 'Louise Peterhoff', 'Katarina Weidhagen', 'Björn Andrésen', 'Tomas Engström', 'Dag Andersson', 'Lennart R. Svensson', 'Anders Beckman', 'Rebecka Johnston', 'Tove Skeidsvoll', 'Anders Back', 'Anki Larsson', 'Levente Puczkó-Smith']",,"['Sweden', 'USA']","['English', 'Swedish']","['drama', 'horror', 'mystery']","[datetime.datetime(2021, 7, 13, 0, 0)]"
sbHg,2021,Loki,Kate Herron,312,"['Tom Hiddleston', 'Owen Wilson', 'Sophia Di Martino', 'Gugu Mbatha-Raw', 'Wunmi Mosaku', 'Tara Strong']",,['USA'],['English'],['drama'],"[datetime.datetime(2021, 7, 15, 0, 0)]"
azp0,2017,The Lego Batman Movie,Chris McKay,104,"['Will Arnett', 'Zach Galifianakis', 'Michael Cera', 'Rosario Dawson', 'Ralph Fiennes', 'Jenny Slate', 'Mariah Carey', 'Channing Tatum', 'Billy Dee Williams', 'Hector Elizondo', ""Conan O'Brien"", 'Jason Mantzoukas', 'Doug Benson', 'Zoë Kravitz', 'Kate Micucci', 'Riki Lindhome', 'Jonah Hill', 'Adam DeVine', 'Eddie Izzard', 'Seth Green', 'Jemaine Clement', 'Ellie Kemper', 'David Burrows', 'Ralph Garman', 'Chris Hardwick', 'Chris McKay', 'Laura Kightlinger', 'Susan Bennett', 'Todd Hansen']",,"['Denmark', 'USA']",['English'],"['action', 'comedy', 'animation', 'family']","[datetime.datetime(2021, 7, 18, 0, 0)]"
